prop_name,borough,longitude,latitude,fountain_type,feature_status,boro
Luna Playground,B,-73.977476,40.575884,A,Active,B
Coney Island Beach & Boardwalk,B,-73.991806,40.571518,E,Active,B
Shore Park and Parkway,B,-74.040029,40.617545,A,Active,B
Central Park,M,-73.978163,40.76736,B,Active,M
Markham Playground,R,-74.14584,40.62311,A,Active,R
Yellowstone Park,Q,-73.847842,40.726339,A,Active,Q
Crotona Park,X,-73.894856,40.84197,A,Active,Bronx
Arsenal West,M,-73.98292,40.769783,Food Prep Sink,Active,M
Crotona Park,X,-73.898137,40.840238,A,Active,Bronx
St. John's Park,B,-73.934891,40.673861,Bottle Filler Fountain,Active,B
Augustus St. Gaudens Playground,M,-73.982275,40.735504,C,Active,M
Forest Park,Q,-73.842471,40.700906,D,Active,Q
McDonald Playground,B,-73.972149,40.600497,A,Active,B
College Point Fields,Q,-73.838611,40.776423,D,Active,Q
Dag Hammarskjold Plaza,M,-73.968025,40.751811,E,Active,M
Hillside Playground,Q,-73.713202,40.741302,A,Active,Q
Bloomingdale Park,R,-74.208555,40.535299,D,Active,R
P.O. Serrano Playground,X,-73.850781,40.823191,C,Active,Bronx
Coney Island Beach & Boardwalk,B,-73.979108,40.573131,E,Active,B
Albemarle Playground,B,-73.980305,40.645837,D,Active,B
Prospect Park,B,-73.973349,40.663586,Drinking Fountain Sink Combination,Active,B
Lafayette Playground,B,-73.985795,40.594441,E High Low,Active,B
Clove Lakes Park,R,-74.118474,40.620381,Indoor Drinking Fountain,Active,R
Pelham Bay Park,X,-73.792393,40.868327,Bottle Filler High Low,Active,Bronx
Marine Park,B,-73.928008,40.59658,A,Active,B
Dean Playground,B,-73.972899,40.680675,A,Active,B
Howard Playground,B,-73.908249,40.671573,A,Active,B
Sara D. Roosevelt Park,M,-73.992258,40.720424,Indoor Drinking Fountain,Active,M
Westbourne Playground,Q,-73.764664,40.608274,C,Active,Q
Gravesend Park,B,-73.984746,40.623518,C,Active,B
Edenwald Playground,X,-73.845125,40.884029,D,Active,Bronx
Forest Park,Q,-73.866434,40.696026,Slop Sink,Active,Q
First Park,M,-73.989295,40.723499,C,Active,M
Railroad Playground,B,-73.913999,40.649242,CS Concrete,Active,B
Van Voorhees Playground,B,-73.999363,40.68968,C,Active,B
Bronx Park,X,-73.870229,40.852961,C,Active,Bronx
Central Park,M,-73.952734,40.794185,Indoor Drinking Fountain,Active,M
Red Hook Recreation Area,B,-74.004045,40.672382,Indoor Drinking Fountain,Active,B
Flushing Meadows Corona Park,Q,-73.837183,40.733513,Double A,Active,Q
Pena Herrera Playground,B,-74.012169,40.649492,A,Active,B
East River Playground,M,-73.93789,40.789183,Indoor Drinking Fountain,Active,M
Devoe Park,X,-73.905509,40.863494,C,Active,Bronx
Van Cortlandt Park,X,-73.89536,40.907748,A,Active,Bronx
Baisley Pond Park,Q,-73.786177,40.684565,A,Active,Q
Riverside Park South,M,-73.987752,40.780775,D,Active,M
Park Of The Americas,Q,-73.86202,40.748605,C,Active,Q
Taylor Playground,X,-73.866293,40.839001,A,Active,Bronx
Oakland Gardens,Q,-73.759641,40.753855,A,Active,Q
Alfred E. Smith Playground,M,-73.997886,40.710259,E,Active,M
Bedford Playground,B,-73.96383,40.708355,E,Active,B
Carver Playground,B,-73.920455,40.680435,C,Active,B
St. John's Park,B,-73.934589,40.674155,E,Active,B
Ferry Point Park,X,-73.825993,40.820661,D,Active,Bronx
Forest Park,Q,-73.858391,40.698396,Indoor Drinking Fountain,Active,Q
J. Hood Wright Park,M,-73.940793,40.845769,E,Active,M
John V. Lindsay East River Park,M,-73.974288,40.717194,E High Low,Active,M
Lost Battalion Hall Recreation Center,Q,-73.865513000000007,40.731804,Indoor Drinking Fountain,Active,Q
Pelham Bay Park,X,-73.794146,40.866412,C,Active,Bronx
Slope Park Playground,B,-73.989764,40.661177,D,Active,B
Cunningham Park,Q,-73.770263,40.735696,A,Active,Q
Prospect Park,B,-73.971586,40.665569,Indoor Drinking Fountain,Active,B
Forest Park,Q,-73.857467,40.698816,A,Active,Q
Alley Pond Park,Q,-73.753808,40.758812,A,Active,Q
Ocean Breeze Park,R,-74.075188,40.583077,Indoor Drinking Fountain,Active,R
Macombs Dam Park,X,-73.92788,40.828292,Trough,Active,Bronx
Soundview Park,X,-73.878815,40.817577,A,Active,Bronx
Flushing Meadows Corona Park,Q,-73.833778,40.751408,Indoor Drinking Fountain,Active,Q
Emerald Playground,Q,-73.805953,40.730842,A,Active,Q
Stockton Playground,B,-73.948882,40.69749,Bottle Filler High Low,Active,B
Randall's Island Park,M,-73.921164,40.793955,Pedestal,Active,M
Flushing Meadows Corona Park,Q,-73.850447,40.746248,A,Active,Q
Alley Pond Park,Q,-73.739914,40.741424,A,Active,Q
Willets Point Playground,Q,-73.796652,40.783773,D,Active,Q
Lieutenant John H. Martinson Playground,R,-74.162652,40.537069,C,Active,R
Riverside Park,M,-73.970074,40.803037,A,Active,M
Highbridge Park,M,-73.940161,40.831624,D,Active,M
Broad Channel Park,Q,-73.819743,40.600794,A,Active,Q
Fort Totten Park,Q,-73.776753,40.793049,Food Prep Sink,Active,Q
Maria Hernandez Park,B,-73.92359,40.703207,E High Low,Active,B
Forest Park,Q,-73.867186,40.702706,A,Active,Q
Prospect Park,B,-73.964002,40.657283,E,Active,B
Delphin H. Greene Playground,Q,-73.728681,40.684581,A,Active,Q
Canarsie Park,B,-73.896209,40.628802,E and Dog,Active,B
Morgan Playground,X,-73.9074,40.832282,A,Active,Bronx
Bildersee Playground,B,-73.912162,40.63591,A,Active,B
Raymond Bush Playground,B,-73.939146,40.686601,C,Active,B
Union Square Park,M,-73.990786,40.735564,E and Dog,Active,M
Flushing Meadows Corona Park,Q,-73.836694,40.750338,A,Active,Q
Roy Wilkins Recreation Center,Q,-73.769994,40.685761,A,Active,Q
Prospect Park,B,-73.973859,40.660772,E High Low,Active,B
Galileo Playground,X,-73.915673,40.848634,C,Active,Bronx
Kissena Corridor Park,Q,-73.822989,40.749871,Bottle Filler High Low,Active,Q
Jackie Robinson Park,M,-73.942261,40.824673,A,Active,M
Joseph C. Sauer Park,M,-73.979385,40.728163,A,Active,M
Maurice A FitzGerald Playground,Q,-73.839589,40.690241,A,Active,Q
Battery Park City,M,-74.017973,40.704719,Other,Active,M
Bellaire Playground,Q,-73.757909,40.721491,A,Active,Q
Marine Park,B,-73.93618,40.608258,C,Active,B
LaGuardia Landing Lights,Q,-73.890017,40.76224,D,Active,Q
Powell Playground,B,-73.904786,40.67132,C,Active,B
McCarren Park,B,-73.954973,40.721771,A,Active,B
Commodore Barry Park,B,-73.977727,40.697852,Indoor Drinking Fountain,Active,B
Gravesend Park,B,-73.982913,40.623441,A,Active,B
Cypress Hills Playground,B,-73.871166,40.670114,A,Active,B
Midland Playground,R,-74.098375,40.574852,A,Active,R
Virginia Park,X,-73.86171,40.83356,A,Active,Bronx
Tompkins Square Park,M,-73.982543,40.726641,E High Low,Active,M
Belmont Playground,X,-73.888012,40.850056,C,Active,Bronx
Rosemary's Playground,Q,-73.904605,40.704439,A,Active,Q
Coney Island Beach & Boardwalk,B,-73.971589,40.573911,Food Prep Sink,Active,B
Flushing Meadows Corona Park,Q,-73.845951,40.745493,Bottle Filler,Active,Q
Emerald Playground,Q,-73.806077,40.731346,A,Active,Q
Bridge Park,X,-73.925126,40.848868,C,Active,Bronx
Central Park,M,-73.974625,40.769104,Water Cooler,Active,M
Steeplechase Park,B,-73.984106,40.572852,Bottle Filler High Low,Active,B
Crotona Park,X,-73.894649,40.836922,A,Active,Bronx
McKinley Park,B,-74.01763,40.625205,F High Low,Active,B
Brooklyn Botanic Garden,B,-73.961898,40.664806,E,Active,B
South Pacific Playground,B,-73.920609,40.675898,A,Active,B
Flushing Meadows Corona Park,Q,-73.837889,40.732671,A,Active,Q
Riverside Park,M,-73.986352,40.783828,A,Active,M
Hunter's Point South Park,Q,-73.962076,40.739452,Trough,Active,Q
Frank Principe Park,Q,-73.905777,40.728163,Bottle Filler High Low,Active,Q
Wagner Houses Pool,M,-73.933001,40.801768,CS Metal,Active,M
Thomas Jefferson Park,M,-73.936122,40.792325,B,Active,M
Monsignor Crawford Field,B,-73.915874,40.614752,D,Active,B
Dyker Beach Park,B,-74.020114,40.604693,A,Active,B
Forest Park,Q,-73.851131,40.707601,E High Low,Active,Q
Penn Triangle,B,-73.960889,40.700677,D,Active,B
Bushwick Playground,B,-73.939596,40.701844,Drinking Fountain Sink Combination,Active,B
Gilbert Ramirez Park,B,-73.934573,40.706009,D,Active,B
Vincent F. Albano Jr. Playground,M,-73.978617,40.741959,A,Active,M
Ethan Allen Playground,B,-73.886815,40.655778,CS Concrete,Active,B
Prospect Park,B,-73.973568,40.66124,B,Active,B
Playground 103 CIII,M,-73.938938,40.78726,E High Low,Active,M
Inwood Hill Park,M,-73.920041,40.874529,B,Active,M
Prospect Park,B,-73.970069,40.671921,B,Active,B
McCarren Park,B,-73.953821,40.720588,A,Active,B
Kelly Park Playground,B,-73.957095,40.604315,A,Active,B
Carl Schurz Park,M,-73.943903,40.775702,Indoor Drinking Fountain,Active,M
Fort Tryon Park,M,-73.934789,40.859029,E High Low,Active,M
Francis Lewis Park,Q,-73.824775,40.79646,E High Low,Active,Q
Carmansville Playground,M,-73.94433,40.829172,CS Metal,Active,M
General Hart Playground,Q,-73.89718,40.748689,A,Active,Q
Coney Island Beach & Boardwalk,B,-73.988172,40.572186,E,Active,B
Bushwick Playground,B,-73.939376,40.701611,B,Active,B
St. Catherine's Park,M,-73.958853,40.765175,E High Low,Active,M
Manhattan Beach Park,B,-73.945391,40.576569,E,Active,B
Central Park,M,-73.975488,40.776161,E,Active,M
St. Mary's Park,X,-73.913481,40.812653,CS Metal,Active,Bronx
Dyker Beach Park,B,-74.016927,40.606373,A,Active,B
Coney Island Beach & Boardwalk,B,-73.956068,40.575402,E,Active,B
Grant Park,X,-73.912335,40.83782,C,Active,Bronx
Pelham Bay Park,X,-73.791144,40.869484,Bottle Filler High Low,Active,Bronx
Rev Lena Irons Unity Park,X,-73.906862,40.830991,C,Active,Bronx
Lindower Park,B,-73.910983,40.612402,E High Low,Active,B
Mafera Park,Q,-73.891771,40.707551,C,Active,Q
Hinton Park,Q,-73.855112,40.756723,C,Active,Q
Kissena Corridor Park,Q,-73.787682,40.744695,C,Active,Q
Riverside Park,M,-73.977997,40.793368,Food Prep Sink,Active,M
Wingate Park,B,-73.943511,40.658021,A,Active,B
Van Dyke Playground,B,-73.903823,40.664246,A,Active,B
Rockaway Beach Boardwalk,Q,-73.815341,40.58328,Trough,Active,Q
Parade Ground,B,-73.969907,40.648963,E,Active,B
Wolfe's Pond Park,R,-74.190986,40.517379,Slop Sink,Active,R
Lyons Pool,R,-74.074754,40.637536,Indoor Drinking Fountain,Active,R
Wakefield Playground,X,-73.853916,40.902272,A,Active,Bronx
Evergreen Playground,B,-73.910856,40.686218,C,Active,B
Van Cortlandt Park,X,-73.897479,40.890609,Trough,Active,Bronx
Central Park,M,-73.951457,40.797062,Food Prep Sink,Active,M
Rockaway Beach,Q,-73.835231,40.577941,Slop Sink,Active,Q
Prospect Park,B,-73.965469,40.665364,Indoor Drinking Fountain,Active,B
Prospect Park,B,-73.971868,40.652232,E,Active,B
Harris Park,X,-73.893474,40.875751,D,Active,Bronx
Seward Park,M,-73.989797,40.714542,E,Active,M
Castlewood Playground,Q,-73.720855,40.749715,A,Active,Q
Hendrick I. Lott House,B,-73.932504,40.610593,Trough,Active,B
Marx Brothers Playground,M,-73.946298,40.784388,C,Active,M
Thomas Paine Park,M,-74.002704,40.714829,E,Active,M
Harris Park,X,-73.892526,40.877117,D,Active,Bronx
Williamsbridge Oval,X,-73.877967,40.877696,C,Active,Bronx
Colonel David Marcus Playground,B,-73.969023000000007,40.610018,C,Active,B
Inwood Hill Park,M,-73.921646,40.871093,Other,Active,M
Cambria Playground,Q,-73.743175,40.68948,A,Active,Q
Marcus Garvey Park,M,-73.942679,40.803413,Bottle Filler,Active,M
Centreville Playground,Q,-73.83928,40.670493,D,Active,Q
Mother Cabrini Park,B,-74.005118,40.684325,A,Active,B
Flushing Meadows Corona Park,Q,-73.848905,40.743106,A,Active,Q
Hunts Point Riverside Park,X,-73.881552,40.817842,B,Active,Bronx
Juniper Valley Park,Q,-73.880513,40.720995,A,Active,Q
Chelsea Park,M,-74.00109,40.749839,C,Active,M
Prospect Park,B,-73.977091,40.663396,E,Active,B
Queens Valley Playground,Q,-73.823857,40.721778,A,Active,Q
Abigail Playground,X,-73.904718,40.817311,A,Active,Bronx
Flushing Fields,Q,-73.817309,40.774274,D,Active,Q
Grove Hill Playground,X,-73.908885,40.819833,CS Metal,Active,Bronx
Sunset Park,B,-74.004537,40.647572,E High Low,Active,B
Sara D. Roosevelt Park,M,-73.990968,40.722536,A,Active,M
St. James Park,X,-73.898379,40.865488,Bottle Filler High Low,Active,Bronx
Von Briesen Park,R,-74.060425,40.607076,E,Active,R
Mathews-Palmer Playground,M,-73.992943,40.761207,Food Prep Sink,Active,M
Cherry Clinton Playground,M,-73.986474,40.7114,B,Active,M
Franklin D. Roosevelt Boardwalk and Beach,R,-74.076109,40.579648,E,Active,R
Blue Heron Park,R,-74.177809,40.530889,Bottle Filler Fountain,Active,R
Herman Dolgon Playground,B,-73.940532,40.598005,A,Active,B
Tappen Park,R,-74.076633,40.626798,E and Dog,Active,R
Crotona Park,X,-73.894588,40.837264,A,Active,Bronx
Marine Park,B,-73.934204,40.603871,A,Active,B
Faber Pool and Park,R,-74.135743,40.641057000000004,C,Active,R
McLaughlin Park,B,-73.986311,40.696615,C,Active,B
Haffen Park,X,-73.839276,40.873469,A,Active,Bronx
Washington Square Park,M,-73.997656,40.730316,E,Active,M
Lefferts Playground,Q,-73.821563,40.665661,E,Active,Q
Mathews-Palmer Playground,M,-73.99257,40.761372,F,Active,M
Rufus King Park,Q,-73.804844,40.703881,C,Active,Q
Booker T. Washington Playground,M,-73.963282,40.800948,C,Active,M
Manhattan Beach Park,B,-73.942974,40.576757,E,Active,B
Silver Lake Park,R,-74.098967,40.628076,A,Active,R
Brooklyn Bridge Park,B,-74.000954,40.692269,Bottle Filler Fountain,Active,B
Calvert Vaux Park,B,-73.992727,40.586013,E,Active,B
Beach 17 Playground,Q,-73.747559999999993,40.594793,D,Active,Q
Central Park,M,-73.963933,40.777294,E and Dog,Active,M
Veterans Grove,Q,-73.877592,40.742755,E High Low,Active,Q
Jackie Robinson Park,M,-73.939809,40.827887,A,Active,M
Conference House Park,R,-74.251743,40.502286,Food Prep Sink,Active,R
Kissena Park,Q,-73.810891,40.745865,A,Active,Q
St. Mary's Park,X,-73.914103,40.811468,Indoor Drinking Fountain,Active,Bronx
Sara D. Roosevelt Park,M,-73.994081,40.716719,Indoor Drinking Fountain,Active,M
Heckscher Playground,B,-73.918284,40.695005,C,Active,B
Rockaway Beach and Boardwalk,Q,-73.775203,40.591437,Trough,Active,Q
Aqueduct Walk,X,-73.914435,40.851088,D,Active,Bronx
Continental Army Plaza,B,-73.960362,40.710757,E,Active,B
Flushing Meadows Corona Park,Q,-73.83628,40.749511,C,Active,Q
Harris Park,X,-73.892568,40.875241,CS Metal,Active,Bronx
Baisley Pond Park,Q,-73.786577,40.676987,E,Active,Q
Parade Ground,B,-73.968444,40.651089,E,Active,B
Tompkins Square Park,M,-73.980843,40.726435,B,Active,M
Happy Warrior Playground,M,-73.968852,40.795292,A,Active,M
Playground Ninety,Q,-73.878422,40.757446,D,Active,Q
De Witt Clinton Park,M,-73.994233,40.768485,D,Active,M
Christopher J. Igneri Playground,R,-74.119429,40.608732,A,Active,R
Challenge Playground,Q,-73.72809,40.756343,A,Active,Q
Flushing Meadows Corona Park,Q,-73.849525,40.741916,A,Active,Q
Bush Terminal Park,B,-74.019562,40.653359,E,Active,B
Manhattan Beach Park,B,-73.942941,40.576762,E,Active,B
Alexander's Alley,X,-73.923197,40.811543,A,Active,Bronx
Asser Levy Playground,M,-73.975668,40.736143,Indoor Drinking Fountain,Active,M
Bloomingdale Playground,M,-73.966378,40.799227,A,Active,M
Seton Park,X,-73.916979,40.885764,A,Active,Bronx
Bennett Park,M,-73.937866,40.853029,E,Active,M
Crotona Park,X,-73.897757,40.840503,Indoor Drinking Fountain,Active,Bronx
Haffen Park,X,-73.838761,40.874323,Indoor Drinking Fountain,Active,Bronx
North Shore Esplanade,R,-74.083839,40.648211,A,Active,R
Van Cortlandt Park,X,-73.892606,40.891078,A,Active,Bronx
Frederick B. Judge Playground,Q,-73.808617,40.683942,C,Active,Q
Hollis Playground,Q,-73.753151,40.706445,C,Active,Q
Printers Park,X,-73.89074,40.82404,C,Active,Bronx
Police Officer Edward Byrne Park,Q,-73.809193,40.667369,A,Active,Q
A.R.R.O.W. Field House,Q,-73.926402,40.755877,Indoor Drinking Fountain,Active,Q
John Hancock Playground,B,-73.95479,40.682272,C,Active,B
Franklin D. Roosevelt Boardwalk and Beach,R,-74.076961,40.578459,E and Dog,Active,R
Central Park,M,-73.9616,40.780872,Pedestal Wall,Active,M
Beach 9 Playground,Q,-73.746083,40.595138,D,Active,Q
Kissena Park,Q,-73.812838,40.746621,A,Active,Q
Frederick Johnson Playground,M,-73.934693,40.824469,A,Active,M
Brevoort Playground,B,-73.922696,40.680645,CS Concrete,Active,B
P.O. Serrano Playground,X,-73.850469,40.823573,E,Active,Bronx
Coney Island Beach & Boardwalk,B,-73.981214,40.572907,E,Active,B
Crotona Park,X,-73.896309,40.835287,C,Active,Bronx
Van Alst Playground,Q,-73.928078,40.770607,Bottle Filler,Active,Q
Pelham Bay Park,X,-73.82223,40.848881,Bottle Filler High Low,Active,Bronx
Grover Cleveland Playground,Q,-73.911403,40.711012,C,Active,Q
Central Park,M,-73.973511,40.766073,E,Active,M
Central Park,M,-73.9591,40.7973,CS Concrete,Active,M
Bush Terminal Park,B,-74.020093,40.65239,E,Active,B
NYC AIDS Memorial Park at St. Vincent’s Triangle,M,-74.001226,40.737343,E,Active,M
Lyons Pool,R,-74.074754,40.637536,Slop Sink,Active,R
Russell Pedersen Playground,B,-74.036432,40.626133,A,Active,B
Mellett Playground,B,-73.957375,40.597205,A,Active,B
The Battery,M,-74.014715,40.703954,E and Dog,Active,M
Percy E. Sutton Playground,M,-73.934843,40.825302,A,Active,M
Helen Marshall Playground,Q,-73.871445,40.765606,D,Active,Q
Williamsbridge Oval,X,-73.875931,40.878018,Pedestal High Low and Dog,Active,Bronx
Fermi Playground,B,-73.928026,40.700775,A,Active,B
Brooklyn Botanic Garden,B,-73.964318,40.66722,E High Low,Active,B
Hoffman Park,Q,-73.872357,40.733088,A,Active,Q
City Hall Park,M,-74.005154,40.712831,E,Active,M
Al Quiñones Playground,X,-73.902024,40.81498,F High Low,Active,Bronx
Langston Hughes Playground,M,-73.946983,40.812238,Bottle Filler High Low,Active,M
Red Hook Recreation Area,B,-74.003785,40.673369,A,Active,B
Marine Park,B,-73.914213,40.600357,Indoor Drinking Fountain,Active,B
St. Vartan Park,M,-73.973257,40.744946,Indoor Drinking Fountain,Active,M
Sunset Park,B,-74.002121,40.646921,Indoor Drinking Fountain,Active,B
Friends Field,B,-73.973001,40.617932,A,Active,B
Sol Lain Plgd,M,-73.983608,40.714308,Bottle Filler High Low,Active,M
Arsenal West,M,-73.98292,40.769783,Food Prep Sink,Active,M
Highland Park,Q,-73.885969,40.683911,A,Active,Q
London Planetree Playground,Q,-73.853533,40.686436,D,Active,Q
Playground Eighty LXXX,Q,-73.709519,40.744791,A,Active,Q
Astoria Park,Q,-73.921957,40.778958,A,Active,Q
Breukelen Ballfields,B,-73.893998,40.653682,D,Active,B
John Paul Jones Park,B,-74.032901,40.61089,A,Active,B
Sohncke Square,Q,-73.906189,40.745505,A,Active,Q
Seaside Playground,Q,-73.830748,40.580923,A,Active,Q
Rockaway Beach Boardwalk,Q,-73.817548,40.582963,Food Prep Sink,Active,Q
Astoria Park,Q,-73.922723,40.778336,A,Active,Q
John V. Lindsay East River Park,M,-73.974398,40.719685,C,Active,M
Ferry Point Park,X,-73.837958,40.815079,C,Active,Bronx
Charlie's Place,B,-73.946393,40.699334,C,Active,B
Blue Playground,B,-73.955045,40.711007,A,Active,B
Alley Athletic Playground,Q,-73.736077,40.739517,A,Active,Q
Merriam Playground,X,-73.926411,40.838939,A,Active,Bronx
Paerdegat Park,B,-73.938139,40.637034,C,Active,B
Walker Park,R,-74.108828,40.643717,Indoor Drinking Fountain,Active,R
Highbridge Park,M,-73.935289,40.841523,C,Active,M
Harold Schneiderman Playground,Q,-73.850639,40.664649,C,Active,Q
Goble Playground,X,-73.917302,40.843714,A,Active,Bronx
Forest Park,Q,-73.858115,40.700822,Indoor Drinking Fountain,Active,Q
Ogden Plimpton Playground,X,-73.923774,40.84179,Bottle Filler High Low,Active,Bronx
Central Park,M,-73.959944,40.79122,Indoor Drinking Fountain,Active,M
Bartlett Playground,B,-73.945952,40.700835,A,Active,B
Betsy Head Park,B,-73.912861,40.662372,A,Active,B
The Painter's Playground,Q,-73.859571,40.720724,D,Active,Q
Corona Golf Playground,Q,-73.85455,40.747441,C,Active,Q
Forest Park,Q,-73.856648,40.697399,A,Active,Q
West Harlem Piers,M,-73.961329,40.818557,Other,Active,M
Manhattan Beach Park,B,-73.94674,40.577257,C,Active,B
Martin Luther King Jr. Playground,B,-73.89024,40.667366,C,Active,B
Dry Dock Playground,M,-73.975319,40.725616,C,Active,M
Fort Totten Park,Q,-73.779669,40.792228,Water Cooler,Active,Q
Dimattina Playground,B,-74.003062,40.679645,E and Dog,Active,B
Walter Gladwin Park,X,-73.894715,40.844333,C,Active,Bronx
High Rock Park,R,-74.123029,40.58262,Food Prep Sink,Active,R
Brookfield Park,R,-74.160949,40.561886,Water Cooler,Active,R
Eleanor Roosevelt Playground,B,-73.935822,40.692709,Bottle Filler High Low,Active,B
Soundview Park,X,-73.877352,40.818507,A,Active,Bronx
Catharine Turner Richardson Park,Q,-73.74714,40.768275,E,Active,Q
Alfred E. Smith Playground,M,-73.997636,40.710185,Indoor Drinking Fountain,Active,M
Bath Beach Park,B,-74.011092,40.601911,A,Active,B
Hart Playground,Q,-73.819403,40.774057,D,Active,Q
Eastchester Playground,X,-73.852607,40.869809,CS Metal,Active,Bronx
Breininger Park,Q,-73.729035,40.725626,C,Active,Q
Central Park,M,-73.968238,40.782216,B,Active,M
Frank Principe Park,Q,-73.905948,40.727505,F High Low,Active,Q
Margaret I. Carman Green - Weeping Beech,Q,-73.824804,40.763459,CS Concrete,Active,Q
Coney Island Beach & Boardwalk,B,-73.971478,40.574001,E,Active,B
Lemon Creek Park,R,-74.210042,40.511048,D,Active,R
Rose Hill Park,X,-73.890356,40.86207,A,Active,Bronx
Bronx Park,X,-73.870238,40.851641,C,Active,Bronx
Poppenhusen Playground,Q,-73.844416,40.78116,A,Active,Q
Central Park,M,-73.967261,40.784734,E and Dog,Active,M
J. Hood Wright Park,M,-73.940763,40.846444,Indoor Drinking Fountain,Active,M
Grand Playground,X,-73.907378,40.855985,F High Low,Active,Bronx
Whole Foods PAA,B,-73.990218,40.675031,Pedestal,Active,B
Bayview Playground,B,-73.887415,40.634776,C,Active,B
Crispus Attucks Playground,B,-73.959027,40.681624,E,Active,B
Alley Pond Park,Q,-73.74721,40.741878,A,Active,Q
Estella Diggs Park,X,-73.905873,40.828854,Trough,Active,Bronx
St. Mary's Park,X,-73.914103,40.811468,Indoor Drinking Fountain,Active,Bronx
Metropolitan Recreation Center,B,-73.960317,40.715012,Bottle Filler Fountain,Active,B
Randall's Island Park,M,-73.923266,40.799257,Indoor Drinking Fountain,Active,M
Fort Tryon Park,M,-73.929432,40.865206,C,Active,M
Bill Rainey Park,X,-73.897006,40.819598,D,Active,Bronx
Park Slope Playground,B,-73.978534,40.676769,D,Active,B
Sakura Park,M,-73.962004,40.813517,B,Active,M
Pelham Bay Park,X,-73.794672,40.864791,G,Active,Bronx
Brownsville Playground,B,-73.902484,40.656495,D,Active,B
Central Park,M,-73.959969,40.791096,Indoor Drinking Fountain,Active,M
Flushing Meadows Corona Park,Q,-73.84431,40.745571,A,Active,Q
Flushing Meadows Corona Park,Q,-73.856267,40.760747,B,Active,Q
Cunningham Park,Q,-73.776769,40.729756,C,Active,Q
Linnaeus Park,Q,-73.751401,40.753865,A,Active,Q
The Battery,M,-74.015968,40.702604,E,Active,M
College Point Park,Q,-73.845903,40.785929,A,Active,Q
Linden Park,B,-73.886281,40.65929,A,Active,B
Morningside Park,M,-73.958779,40.803001,Bottle Filler,Active,M
Belmont Playground,X,-73.887259,40.849919,D,Active,Bronx
Linwood Playground,B,-73.880377,40.666216,A,Active,B
Joyce Kilmer Park,X,-73.921661,40.829559,E,Active,Bronx
Midland Field,R,-74.098986,40.576707,A,Active,R
Williamsbridge Oval,X,-73.878571,40.876656,Indoor Drinking Fountain,Active,Bronx
Lincoln Terrace / Arthur S. Somers Park,B,-73.925553,40.666657,D,Active,B
Highland Park,Q,-73.8881,40.683994,A,Active,Q
Washington Skate Park,B,-73.985855,40.672929,F and Dog,Active,B
Sgt. William Dougherty Playground,B,-73.936952,40.723562,CS Metal,Active,B
Van Cortlandt Park,X,-73.894766,40.903526,Indoor Drinking Fountain,Active,Bronx
Randall's Island Park,M,-73.924708,40.79288,Bottle Filler Fountain,Active,M
River Avenue Parks,X,-73.926874,40.825486,D,Active,Bronx
Chester Playground,B,-73.911925,40.66899,D,Active,B
Flushing Meadows Corona Park,Q,-73.842346,40.74353,A,Active,Q
Rockaway Beach and Boardwalk,Q,-73.788518,40.589048,Food Prep Sink,Active,Q
Corporal John A. Seravalli Playground,M,-74.004627,40.738941,CS Metal High Low,Active,M
Central Park,M,-73.967714,40.772086,E High Low,Active,M
Parade Ground,B,-73.967314,40.650486,A,Active,B
Torsney Playground,Q,-73.921765,40.74726,F and Dog,Active,Q
Crocheron Park,Q,-73.770251,40.770072,,Active,Q
Central Park,M,-73.973832,40.769139,Monument,Active,M
Baisley Pond Park,Q,-73.788025,40.668991,D,Active,Q
Locust Manor Playground,Q,-73.755882,40.686114,D,Active,Q
Pelham Bay Park,X,-73.792601,40.868587,A,Active,Bronx
Bridge Park 3,B,-73.984873,40.700451,A,Active,B
Marie Curie Playground,Q,-73.771578,40.757085,C,Active,Q
Big Bush Playground,Q,-73.902389,40.739216,A,Active,Q
Prospect Park,B,-73.965426,40.662459,Bottle Filler Fountain,Active,B
Coney Island Boat Basin,B,-73.990174,40.58309,A,Active,B
Travers Park,Q,-73.889294,40.754216,E High Low,Active,Q
De Witt Clinton Park,M,-73.993248,40.768096,D,Active,M
Shore Park and Parkway,B,-74.038635,40.632001,D,Active,B
Daniel M. O'Connell Playground,Q,-73.758113,40.700046,A,Active,Q
Vesuvio Playground,M,-74.002440000000007,40.725569,E High Low,Active,M
WNYC Transmitter Park,B,-73.960635,40.730101,Trough,Active,B
Adam Yauch Park,B,-73.998694,40.691703,E,Active,B
Albert J. Parham Playground,B,-73.970791,40.69057,C,Active,B
Beach 30th Street Playground,Q,-73.763666,40.591887,Food Prep Sink,Active,Q
Columbus Park,M,-74.000245,40.715755,E High Low,Active,M
Canarsie Park,B,-73.895972,40.628961,Indoor Drinking Fountain,Active,B
Little Bay Park,Q,-73.791389,40.788561,C,Active,Q
Rockaway Beach and Boardwalk,Q,-73.753536,40.592597,A,Active,Q
Westerleigh Park,R,-74.134663,40.619843,B,Active,R
Washington Park,B,-73.985708,40.673541,E,Active,B
Riverside Park,M,-73.977997,40.793368,Indoor Drinking Fountain,Active,M
Cunningham Park,Q,-73.765314,40.739335,A,Active,Q
Markham Playground,R,-74.14578,40.62415,A,Active,R
Wards Island Park,M,-73.925864,40.782306,Bottle Filler Fountain,Active,M
